"Commune";"NPA";"Canton"
"Commune";"NPA";"Canton"
"Aadorf";"8355";"TG"
"Aarau";"5000";"AG"
"Aarau";"5004";"AG"
"Aarau Rohr";"5032";"AG"
"Aarberg";"3270";"BE"
"Aarburg";"4663";"AG"
"Aarwangen";"4912";"BE"
"Aathal-Seegräben";"8607";"ZH"
"Aawangen";"8522";"TG"
"Abländschen";"1657";"BE"
"Abtwil AG";"5646";"AG"
"Abtwil SG";"9030";"SG"
"Achseten";"3725";"BE"
"Aclens";"1123";"VD"
"Acquarossa";"6716";"TI"
"Adelboden";"3715";"BE"
"Adetswil";"8345";"ZH"
"Adligenswil";"6043";"LU"
"Adlikon b. Andelfingen";"8452";"ZH"
"Adlikon b. Regensdorf";"8106";"ZH"
"Adliswil";"8134";"ZH"
"Aedermannsdorf";"4714";"SO"
"Aefligen";"3426";"BE"
"Aegerten";"2558";"BE"
"Aesch (Neftenbach)";"8412";"ZH"
"Aesch BL";"4147";"BL"
"Aesch LU";"6287";"LU"
"Aesch ZH";"8904";"ZH"
"Aeschau";"3536";"BE"
"Aeschi SO";"4556";"SO"
"Aeschi b. Spiez";"3703";"BE"
"Aeschiried";"3703";"BE"
"Aeschlen b. Oberdiessbach";"3672";"BE"
"Aeschlen ob Gunten";"3656";"BE"
"Aetigkofen";"4583";"SO"
"Aetingen";"4587";"SO"
"Aettenschwil";"5645";"AG"
"Aeugst am Albis";"8914";"ZH"
"Aeugstertal";"8914";"ZH"
"Affeltrangen";"9556";"TG"
"Affoltern am Albis";"8910";"ZH"
"Affoltern im Emmental";"3416";"BE"
"Agarn";"3951";"VS"
"Agarone";"6597";"TI"
"Agasul";"8308";"ZH"
"Agiez";"1352";"VD"
"Agno";"6982";"TI"
"Agra";"6927";"TI"
"Agriswil";"3216";"FR"
"Aigle";"1860";"VD"
"Aire-la-Ville";"1288";"GE"
"Airolo";"6780";"TI"
"Alberswil";"6248";"LU"
"Albeuve";"1669";"FR"
"Albinen";"3955";"VS"
"Albligen";"3183";"BE"
"Alchenflüh";"3422";"BE"
"Alchenstorf";"3473";"BE"
"Aldesago";"6974";"TI"
"Algetshausen";"9249";"SG"
"Alikon";"5643";"AG"
"Allaman";"1165";"VD"
"Alle";"2942";"JU"
"Allens";"1304";"VD"
"Allenwinden";"6319";"ZG"
"Allerheiligenberg";"4615";"SO"
"Allmendingen b. Bern";"3112";"BE"
"Allschwil";"4123";"BL"
"Almens";"7416";"GR"
"Alosen";"6315";"ZG"
"Alp Grüm";"7710";"GR"
"Alpnach Dorf";"6055";"OW"
"Alpnachstad";"6053";"OW"
"Alpthal";"8849";"SZ"
"Alt St. Johann";"9656";"SG"
"Altbüron";"6147";"LU"
"Altdorf SH";"8243";"SH"
"Altdorf UR";"6460";"UR"
"Alten";"8453";"ZH"
"Altendorf";"8852";"SZ"
"Altenrhein";"9423";"SG"
"Alterswil FR";"1715";"FR"
"Alterswilen";"8573";"TG"
"Altikon";"8479";"ZH"
"Altishausen";"8573";"TG"
"Altishofen";"6246";"LU"
"Altnau";"8595";"TG"
"Altstätten SG";"9450";"SG"
"Altwis";"6286";"LU"
"Alvaneu Bad";"7473";"GR"
"Alvaneu Dorf";"7492";"GR"
"Alvaschein";"7451";"GR"
"Am Bach (Avers)";"7447";"GR"
"Ambrì";"6775";"TI"
"Amden";"8873";"SG"
"Aminona";"3963";"VS"
"Amlikon-Bissegg";"8514";"TG"
"Ammerswil AG";"5600";"AG"
"Ammerzwil BE";"3257";"BE"
"Amriswil";"8580";"TG"
"Amsoldingen";"3633";"BE"
"Amsteg";"6474";"UR"
"Andeer";"7440";"GR"
"Andelfingen";"8450";"ZH"
"Andermatt";"6490";"UR"
"Andhausen";"8572";"TG"
"Andiast";"7159";"GR"
"Andwil SG";"9204";"SG"
"Andwil TG";"8586";"TG"
"Anglikon";"5611";"AG"
"Anières";"1247";"GE"
"Anwil";"4469";"BL"
"Anzonico";"6748";"TI"
"Anzère";"1972";"VS"
"Appenzell";"9050";"AI"
"Appenzell Eggerstanden";"9050";"AI"
"Appenzell Enggenhütten";"9050";"AI"
"Appenzell Meistersrüte";"9050";"AI"
"Appenzell Schlatt";"9050";"AI"
"Appenzell Steinegg";"9050";"AI"
"Apples";"1143";"VD"
"Aproz (Nendaz)";"1994";"VS"
"Aquila";"6719";"TI"
"Aran";"1091";"VD"
"Aranno";"6994";"TI"
"Arbaz";"1974";"VS"
"Arbedo";"6517";"TI"
"Arboldswil";"4424";"BL"
"Arbon";"9320";"TG"
"Arcegno";"6618";"TI"
"Arch";"3296";"BE"
"Arconciel";"1732";"FR"
"Ardez";"7546";"GR"
"Ardon";"1957";"VS"
"Areuse";"2015";"NE"
"Arezen";"7104";"GR"
"Argnou (Ayent)";"1966";"VS"
"Arisdorf";"4422";"BL"
"Aristau";"5628";"AG"
"Arlesheim";"4144";"BL"
"Arnegg";"9212";"SG"
"Arnex-sur-Nyon";"1277";"VD"
"Arnex-sur-Orbe";"1321";"VD"
"Arni AG";"8905";"AG"
"Arni BE";"3508";"BE"
